Block,total_occurences,sample_occurences
minecraft:nether_portal,53655,499
minecraft:ice,1274570,1624
minecraft:creeper_head,86,45
minecraft:acacia_button,1571,39
minecraft:black_terracotta,502204,767
minecraft:dropper,5439,520
minecraft:nether_wart,2081,116
minecraft:yellow_wall_banner,514,63
minecraft:flowing_water,873482,2789
minecraft:flowing_lava,206450,1469
minecraft:carved_pumpkin,17682,1326
minecraft:pink_glazed_terracotta,6281,55
minecraft:purple_glazed_terracotta,2140,56
minecraft:light_blue_banner,45,16
minecraft:dead_fire_coral_block,3915,28
minecraft:dead_tube_coral_block,1425,29
minecraft:cyan_stained_glass_pane,17026,197
minecraft:tall_seagrass,10747,135
minecraft:black_concrete_powder,17679,79
minecraft:emerald_ore,53438,418
minecraft:magma_block,9726,119
minecraft:andesite_stairs,10617,145
minecraft:andesite_slab,14647,154
minecraft:dark_prismarine_stairs,20540,92
minecraft:cocoa,16421,598
minecraft:melon,19515,917
minecraft:mossy_stone_brick_wall,2829,50
minecraft:cyan_concrete_powder,4361,23
minecraft:orange_concrete_powder,40172,25
minecraft:lime_concrete_powder,1212,19
minecraft:red_sandstone_wall,13453,42
minecraft:kelp,4782,88
minecraft:jungle_fence,21004,245
minecraft:jungle_sapling,360,92
minecraft:end_stone_bricks,154167,120
minecraft:end_stone_brick_stairs,3786,33
minecraft:pink_banner,18,7
minecraft:dragon_wall_head,25,12
minecraft:stripped_dark_oak_wood,47715,119
minecraft:dried_kelp_block,2416,28
minecraft:red_nether_brick_slab,5389,76
minecraft:red_nether_bricks,58339,110
minecraft:purple_wall_banner,626,40
minecraft:wet_sponge,425,24
minecraft:end_stone_brick_slab,4220,26
minecraft:cyan_banner,132,18
minecraft:green_banner,15,11
minecraft:creeper_wall_head,63,9
minecraft:zombie_wall_head,69,11
minecraft:wither_skeleton_wall_skull,390,32
minecraft:wither_skeleton_skull,422,79
minecraft:skeleton_wall_skull,96,26
minecraft:dragon_head,85,39
minecraft:blue_wall_banner,1565,79
minecraft:lime_wall_banner,436,29
minecraft:cyan_wall_banner,497,56
minecraft:orange_wall_banner,273,50
minecraft:pumpkin,2591,83
minecraft:green_wall_banner,401,42
minecraft:red_mushroom_block,113291,607
minecraft:horn_coral_block,591,19
minecraft:fire_coral_fan,275,25
minecraft:horn_coral,235,32
minecraft:horn_coral_fan,151,25
minecraft:fire_coral_wall_fan,95,15
minecraft:petrified_oak_slab,76097,797
minecraft:bubble_coral_block,221,14
minecraft:jungle_wood,12650,49
minecraft:brain_coral_block,326,20
minecraft:kelp_plant,14063,75
minecraft:prismarine_brick_stairs,8913,58
minecraft:bubble_coral,217,34
minecraft:bubble_coral_fan,122,17
minecraft:prismarine,76857,168
minecraft:conduit,183,15
